fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
48077,US,TX,Clay County,county,,iso1:us#iso2:us-tx#fips:48077,,10471,0.0303,other,1.364312318,,1,1.167521158,,,,1,1,1,4,1,4,4,1035,16,,,,25,2,0,0.06,0,,0,,0,,3551,3275,5/31/21,https://covidactnow.org/us/texas-tx/county/clay_county,0.339127113,0.312768599,0,6572
48079,US,TX,Cochran County,county,,iso1:us#iso2:us-tx#fips:48079,,2853,,other,15.02178158,,,,,,,2,4,2,4,4,4,4,320,15,,,,18,3,0,0,0,,0,,0,,836,755,5/31/21,https://covidactnow.org/us/texas-tx/county/cochran_county,0.293024886,0.264633719,0,1422
48081,US,TX,Coke County,county,,iso1:us#iso2:us-tx#fips:48081,,3387,,other,0,,1,1.167521158,,,,0,4,0,4,1,4,4,467,13,,,,,,0,,,,0,,0,,1056,885,5/31/21,https://covidactnow.org/us/texas-tx/county/coke_county,0.311780337,0.26129318,0,1892
48083,US,TX,Coleman County,county,,iso1:us#iso2:us-tx#fips:48083,,8175,,other,1.747487986,,1,1.167521158,,,,1,4,1,4,1,4,4,751,33,,,,25,5,1,0.32,0,,0,,0,,2344,2031,5/31/21,https://covidactnow.org/us/texas-tx/county/coleman_county,0.286727829,0.248440367,0,4172
48085,US,TX,Collin County,county,,iso1:us#iso2:us-tx#fips:48085,,1034730,0.0262,other,2.540345238,,0.725052761,0.218109034,0.134345526,,0.914202899,1,0,1,4,0,0,3,89416,834,,,,2827,1492,44,0.69,246,225,20,0.58,0,,539771,447002,5/31/21,https://covidactnow.org/us/texas-tx/county/collin_county,0.521653958,0.431998686,0,961563
48087,US,TX,Collingsworth County,county,,iso1:us#iso2:us-tx#fips:48087,,2920,,other,0,,1.007617176,1.165130509,,,,0,4,0,4,1,4,4,329,9,,,,15,1,0,0.19,0,,0,,0,,805,706,5/31/21,https://covidactnow.org/us/texas-tx/county/collingsworth_county,0.275684932,0.241780822,0,1404
48089,US,TX,Colorado County,county,,iso1:us#iso2:us-tx#fips:48089,,21493,0.0448,other,4.652677616,,1.054377304,1.062576916,0,,,1,1,1,4,1,0,4,1744,32,,,,103,9,1,0.18,0,0,0,,0,,8837,7601,5/31/21,https://covidactnow.org/us/texas-tx/county/colorado_county,0.411157121,0.353650026,0,14957
48091,US,TX,Comal County,county,,iso1:us#iso2:us-tx#fips:48091,,156209,0.0598,other,6.584584938,,0.657443802,0.396252977,0.227694384,,0.454545455,1,1,1,4,0,0,0,10822,322,,,,340,103,10,0.55,22,10,3,0.44,0,,71400,57775,5/31/21,https://covidactnow.org/us/texas-tx/county/comal_county,0.457079938,0.36985705,0,122629
48093,US,TX,Comanche County,county,,iso1:us#iso2:us-tx#fips:48093,,13635,0.0196,other,2.09544764,,1.027396173,1.215415834,,,,1,0,1,4,1,4,4,1562,51,,,,25,8,1,0.29,0,,0,,0,,4607,4097,5/31/21,https://covidactnow.org/us/texas-tx/county/comanche_county,0.337880455,0.300476714,0,8133
48095,US,TX,Concho County,county,,iso1:us#iso2:us-tx#fips:48095,,2726,,other,36.68378577,,1.407520326,1.045897991,,,,3,4,3,4,3,4,4,472,8,,,,16,0,2,0.06,0,,0,,0,,1128,877,5/31/21,https://covidactnow.org/us/texas-tx/county/concho_county,0.413793103,0.321716801,0,1918
